日の出,139.75916,35.64926,87306,"[('海岸二丁目', 'POINT(139.759757 35.647748)', 176.25709342, 739), ('芝浦一丁目', 'POINT(139.756622 35.64816)', 260.23996552, 17372), ('芝一丁目', 'POINT(139.755201 35.652414)', 501.00013155, 2164), ('海岸一丁目', 'POINT(139.762471 35.653188)', 529.00383609, 11026), ('浜松町二丁目', 'POINT(139.755531 35.654067)', 626.46891545, 9049), ('芝二丁目', 'POINT(139.75189 35.651331)', 697.31873096, 12704), ('芝浦二丁目', 'POINT(139.753054 35.64421)', 787.23498232, 4213), ('芝四丁目', 'POINT(139.750419 35.649146)', 791.69741472, 3411), ('芝大門二丁目', 'POINT(139.753658 35.654972)', 806.16768862, 4422), ('浜松町一丁目', 'POINT(139.756668 35.657852)', 979.650534, 22206)]"
青海,139.781315,35.6248,30831,"[('青海一丁目', 'POINT(139.775573 35.624133)', 525.40134422, 12095), ('台場二丁目', 'POINT(139.776639 35.627987)', 551.77918175, 2208), ('台場一丁目', 'POINT(139.773009 35.627735)', 819.86329422, 16528), ('有明四丁目', 'POINT(139.791435 35.622291)', 958.10651098, None)]"
新豊洲,139.79011500000001,35.64871,9843,"[('豊洲六丁目', 'POINT(139.787033 35.645522)', 450.57936304, None), ('豊洲五丁目', 'POINT(139.797295 35.651425)', 716.61241892, 617), ('豊洲二丁目', 'POINT(139.792559 35.655662)', 802.46681435, 9226)]"
市場前,139.78565,35.64569,0,"[('豊洲六丁目', 'POINT(139.787033 35.645522)', 126.63130841, None), ('有明一丁目', 'POINT(139.790022 35.639135)', 828.09735576, None)]"
有明テニスの森,139.788895,35.63998,696,"[('有明一丁目', 'POINT(139.790022 35.639135)', 138.59734651, None), ('有明二丁目', 'POINT(139.791439 35.636972)', 405.55916084, 696), ('豊洲六丁目', 'POINT(139.787033 35.645522)', 637.60391854, None)]"
豊洲,139.795435,35.653705,33697,"[('豊洲五丁目', 'POINT(139.797295 35.651425)', 303.91738711, 617), ('豊洲二丁目', 'POINT(139.792559 35.655662)', 339.07885574, 9226), ('豊洲四丁目', 'POINT(139.800507 35.654065)', 461.03367929, 2581), ('豊洲三丁目', 'POINT(139.796206 35.658459)', 532.06932046, 7602), ('枝川一丁目', 'POINT(139.804065 35.656037)', 823.20835185, 1342), ('塩浜一丁目', 'POINT(139.800515 35.660876)', 919.04847131, 523), ('東雲一丁目', 'POINT(139.801993 35.647307)', 925.54229416, 11806), ('豊洲一丁目', 'POINT(139.792314 35.661795)', 941.04616111, None)]"
青砥,139.85627,35.74587,33234,"[('青戸二丁目', 'POINT(139.859014 35.74715)', 285.95910522, 83), ('青戸一丁目', 'POINT(139.855989 35.74267)', 355.96228633, 312), ('青戸五丁目', 'POINT(139.854349 35.74969)', 458.07815988, 658), ('青戸三丁目', 'POINT(139.85095 35.746879)', 494.05345753, 10716), ('青戸六丁目', 'POINT(139.857404 35.75045)', 518.41892571, 3474), ('高砂一丁目', 'POINT(139.861841 35.743612)', 562.75982588, None), ('立石六丁目', 'POINT(139.849983 35.744566)', 586.79375702, 1742), ('立石八丁目', 'POINT(139.855215 35.740032)', 654.74281545, 1421), ('青戸四丁目', 'POINT(139.850169 35.749639)', 692.38879545, 4158), ('立石七丁目', 'POINT(139.850499 35.740655)', 779.3004352, 6014), ('高砂二丁目', 'POINT(139.865126 35.747888)', 831.73819714, 667), ('高砂六丁目', 'POINT(139.861062 35.753764)', 977.24719821, None), ('細田二丁目', 'POINT(139.864965 35.740608)', 979.52200312, None), ('立石五丁目', 'POINT(139.845764 35.743439)', 987.84198136, 3989)]"
京成曳舟,139.82028,35.71864,54233,"[('京島一丁目', 'POINT(139.819994 35.716893)', 195.55608453, 4835), ('東向島二丁目', 'POINT(139.816709 35.719262)', 330.40110306, 7108), ('八広一丁目', 'POINT(139.824043 35.720609)', 404.54525541, 2784), ('東向島六丁目', 'POINT(139.82143 35.72325)', 521.97342052, 2609), ('京島二丁目', 'POINT(139.820283 35.713822)', 534.57523178, 564), ('京島三丁目', 'POINT(139.823384 35.714474)', 540.87470965, 3464), ('八広二丁目', 'POINT(139.82586 35.716693)', 549.17414099, 4008), ('東向島一丁目', 'POINT(139.813539 35.720487)', 643.44490656, 3928), ('東向島三丁目', 'POINT(139.815476 35.723044)', 653.99217984, 2593), ('八広三丁目', 'POINT(139.827826 35.71933)', 687.05950231, 434), ('八広五丁目', 'POINT(139.825518 35.723591)', 725.52061837, 2095), ('押上三丁目', 'POINT(139.818287 35.712256)', 730.92531651, 1126), ('押上二丁目', 'POINT(139.814383 35.713641)', 769.65444914, 6159), ('向島四丁目', 'POINT(139.812257 35.715372)', 811.47570337, 443), ('向島五丁目', 'POINT(139.811057 35.718286)', 835.44916307, 1211), ('東向島四丁目', 'POINT(139.816982 35.726201)', 890.41114257, 4429), ('文花三丁目', 'POINT(139.826436 35.711999)', 923.70309783, 727), ('八広四丁目', 'POINT(139.829213 35.722821)', 931.92777628, 1856), ('堤通一丁目', 'POINT(139.811112 35.72272)', 945.00940702, 2107), ('東向島五丁目', 'POINT(139.822432 35.727333)', 983.97874018, 1753)]"
押上,139.81241,35.71022,41103,"[('押上一丁目', 'POINT(139.814749 35.710401)', 212.61204951, 1547), ('業平二丁目', 'POINT(139.811651 35.707502)', 309.29474088, 264), ('業平三丁目', 'POINT(139.813318 35.707307)', 333.48913434, 831), ('業平一丁目', 'POINT(139.810304 35.707752)', 333.62478771, 638), ('業平四丁目', 'POINT(139.815047 35.707452)', 388.93179815, 1268), ('押上二丁目', 'POINT(139.814383 35.713641)', 419.46511683, 6159), ('業平五丁目', 'POINT(139.817006 35.707691)', 501.71515088, 5452), ('向島三丁目', 'POINT(139.808691 35.713587)', 502.81008055, 2392), ('向島一丁目', 'POINT(139.806325 35.71111)', 559.42753136, 506), ('向島四丁目', 'POINT(139.812257 35.715372)', 571.80102425, 443), ('押上三丁目', 'POINT(139.818287 35.712256)', 577.80695631, 1126), ('横川一丁目', 'POINT(139.810314 35.705184)', 590.07884291, 1488), ('吾妻橋三丁目', 'POINT(139.805838 35.709178)', 605.85329808, 2860), ('東駒形四丁目', 'POINT(139.806125 35.707289)', 655.16459382, 1117), ('横川二丁目', 'POINT(139.812029 35.704058)', 684.56480411, 579), ('横川四丁目', 'POINT(139.815685 35.70431)', 719.6016513, 644), ('文花一丁目', 'POINT(139.820363 35.709338)', 726.31287241, 6964), ('横川三丁目', 'POINT(139.813582 35.703738)', 726.9795233, 393), ('向島二丁目', 'POINT(139.806196 35.714647)', 746.62941221, 1753), ('横川五丁目', 'POINT(139.817171 35.70402)', 811.69928535, 615), ('京島二丁目', 'POINT(139.820283 35.713822)', 816.87300142, 564), ('吾妻橋二丁目', 'POINT(139.803205 35.709697)', 835.00395494, 1580), ('向島五丁目', 'POINT(139.811057 35.718286)', 903.28807683, 1211), ('本所四丁目', 'POINT(139.806421 35.703671)', 906.49979719, 393), ('東駒形三丁目', 'POINT(139.80314 35.707112)', 906.99400453, 316)]"
八広,139.82831666666667,35.727196666666664,16169,"[('八広六丁目', 'POINT(139.829155 35.726355)', 120.30698578, 1001), ('八広五丁目', 'POINT(139.825518 35.723591)', 473.46129179, 2095), ('八広四丁目', 'POINT(139.829213 35.722821)', 492.22380844, 1856), ('東向島五丁目', 'POINT(139.822432 35.727333)', 532.61899147, 1753), ('墨田三丁目', 'POINT(139.821609 35.729804)', 672.28191702, 2097), ('東向島六丁目', 'POINT(139.82143 35.72325)', 761.56162139, 2609), ('墨田四丁目', 'POINT(139.822228 35.732704)', 822.69207234, 252), ('八広一丁目', 'POINT(139.824043 35.720609)', 826.90201085, 2784), ('八広三丁目', 'POINT(139.827826 35.71933)', 873.96544806, 434), ('東墨田二丁目', 'POINT(139.831637 35.71977)', 877.07131109, 58), ('東四つ木三丁目', 'POINT(139.838752 35.730006)', 994.22757959, 1230)]"
